start,dca,ls,ratio,dca_gain,ls_gain
1985-01-31,609.7454706989679,2879.1656506373674,0.2117785305489412,4.081212255824733,22.99304708864473
1985-02-28,608.5381098513149,2961.055645237626,0.205513905431007,4.071150915427624,23.675463710313547
1985-03-31,557.4247738410553,2682.503687910028,0.2078001891864506,3.645206448675461,21.354197399250232
1985-04-30,552.5647953269167,2775.9831951881824,0.1990519237597397,3.6047066277243065,22.133193293234854
1985-05-31,596.3592871666208,2949.2575174233134,0.20220658373964026,3.969660726388507,23.57714597852761
1985-06-30,571.5560824517262,2973.896466307278,0.1921909820759275,3.7629673537643846,23.78247055256065
1985-07-31,573.4241770379375,3070.9564163786226,0.18672494796072,3.7785348086494794,24.591303469821856
1985-08-31,522.8553484374199,2838.0821227753413,0.184228407008224,3.357127903645166,22.650684356461177
1985-09-30,476.6869123207601,2545.345460797799,0.18727788414675545,2.972390936006334,20.211212173314994
1985-10-31,427.2154380413892,2281.237421199442,0.18727355341065965,2.5601286503449097,18.010311843328683
1985-11-30,406.11409854134257,2312.947545281406,0.1755829263702271,2.384284154511188,18.274562877345048
1985-12-31,411.9787058227312,2365.90630623828,0.17413145429151203,2.433155881856093,18.715885885319
1986-01-31,437.46141209042077,2592.309039417374,0.16875357275641062,2.645511767420173,20.602575328478117
1986-02-28,416.3994306059979,2196.341919153028,0.18958770807715286,2.4699952550499824,17.302849326275233
1986-03-31,401.6064701221149,2046.3628213443399,0.19625379523768083,2.3467205843509573,16.05302351120283
1986-04-30,390.4988875404387,2087.768338064976,0.1870412920919991,2.2541573961703225,16.3980694838748
1986-05-31,413.86099858730404,2352.4324478857907,0.1759289619386328,2.4488416548942005,18.60360373238159
1986-06-30,398.29462044745134,1946.1251388557807,0.20466033375511897,2.3191218370620943,15.217709490464838
1986-07-31,354.194243275916,1603.0118993257531,0.22095546728311533,1.9516186939659668,12.358432494381276
1986-08-31,363.5471831739429,1615.973616791076,0.22497098925158057,2.0295598597828577,12.4664468065923
1986-09-30,345.52609383381326,1157.5250209986573,0.29850421162879903,1.8793841152817774,8.646041841655478
1986-10-31,315.0072655846007,946.6412471304254,0.33276308901549473,1.625060546538339,6.888677059420212
1986-11-30,321.2302937697058,930.8524167159294,0.34509261403973607,1.6769191147475482,6.757103472632745
1986-12-31,322.6521697221273,892.9752918354087,0.36132261740294364,1.6887680810177277,6.441460765295073
1987-01-31,341.2754928793805,780.0069193457678,0.43752880187989357,1.8439624406615045,5.500057661214731
1987-02-28,325.3095018060179,766.9818258599688,0.4241423862179116,1.7109125150501492,5.39151521549974
1987-03-31,311.0083506160892,749.6435946345257,0.4148749523668182,1.591736255134077,5.247029955287714
1987-04-30,251.22716053372272,559.1510383047737,0.44930107130872854,1.093559671114356,3.6595919858731145
1987-05-31,262.64191643415927,550.5158202721957,0.4770833221546644,1.1886826369513273,3.5876318356016306
1987-06-30,259.02920488622834,361.2151957657174,0.7171049499651547,1.1585767073852362,2.0101266313809782
1987-07-31,239.37582888583262,272.0943097596676,0.8797531602085533,0.9947985740486052,1.2674525813305637
1987-08-31,183.96839159911184,230.39098396938647,0.7985051690371568,0.5330699299925987,0.9199248664115538
1987-09-30,186.2934808293455,330.152593215306,0.5642647813699161,0.5524456735778791,1.7512716101275503
1987-10-31,163.07506019829685,292.62304927559626,0.5572871330607679,0.35895883498580705,1.438525410629969
1987-11-30,157.53070423647893,306.33979897032054,0.5142351883952928,0.3127558686373244,1.5528316580860047
1987-12-31,164.53887884753283,275.0296894622281,0.5982586068044491,0.3711573237294403,1.2919140788519008
1988-01-31,170.12404744709752,285.80209007970575,0.5952512362651112,0.4177003953924794,1.381684083997548
1988-02-29,196.31014856432643,360.46651928266624,0.5446002279351396,0.6359179047027201,2.003887660688885
1988-03-31,191.91298493694092,359.7818178043767,0.5334149071460006,0.5992748744745076,1.9981818150364727
1988-04-30,185.06739617667708,331.1209539382636,0.5589117631352991,0.542228301472309,1.7593412828188635
1988-05-31,169.0302368912986,303.1999731650163,0.5574876380325537,0.40858530742748855,1.5266664430418024
1988-06-30,146.57230707678056,248.57179917611927,0.5896578274872222,0.22143589230650473,1.0714316598009939
1988-07-31,132.8901387281567,220.83388564736677,0.6017651608972687,0.10741782273463918,0.840282380394723
1988-08-31,97.9297989519344,181.45130509444763,0.5397029186478474,-0.18391834206721336,0.512094209120397
1988-09-30,102.92096595868169,215.3074194119832,0.4780186685612818,-0.14232528367765263,0.7942284950998599
1988-10-31,142.28774248998494,288.16972586046,0.493763673700008,0.18573118741654104,1.4014143821705
1988-11-30,158.56925755484335,323.4353626647325,0.49026567858386433,0.3214104796236945,1.695294688872771
1988-12-31,156.34846949936497,279.8748314382463,0.5586371189431618,0.30290391249470816,1.3322902619853858
1989-01-31,153.86132626003177,278.998390133887,0.551477469766747,0.2821777188335981,1.3249865844490585
